UserId,FirstName,Emaild,LastName,UserName,Password,Phone,Dob,GroupOwner,InGroup,Role,Status
,admin,admin@gmail.com,admin,admin,Admin@123,9999999999,,,,1,1
,steve,adit@gmail.com,smith,steve_07,Steve@123,8888888888,,,,0,1
,Mitchel,stark@gmail.com,Stark,Stark_mit,Stark@123,7777777777,,,,0,1
,donald,dirgh@gmail.com,Henry,Henrey,Henrey@123,6.67E+11,,,,0,1
,skylar,Skylar@gmail.com,snow,skylar_07,Skylar@123,5555555555,,,,0,1
,Tammy,Tammy@gmail.com,Hilfiger,Tammy_98,Tammy@123,4444444444,,,,0,1
,kamrin,Kamrin@gmail.com,garfield,Kamrin_198,Kamrin@123,3333333333,,,,0,1
,Alex,alex@gmail.com,Randy,Alex_214,Alex@123,2222222222,,,,0,1
,Anne,Anne@gmail.com,Penurey,Anne_45,Anne@123,1111111111,,,,0,1
,sharad,shard@gmail.com,mishra,Sharad_123,Sharad@123,10101010,,,,0,1
,Adit,Adit@gmail.com,shah,Adit_541,Adit@123,1010101010,,,,0,1
